ID,NAME,TRADEDATE,OPEN,HIGH,LOW,CLOSE,VALUE,DURATION,YIELD
MOEXREPOUSD,MOEXREPO USD 12:30,2017-07-24,1.55,1.55,1.55,1.55,2101358927,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-07-25,1.53,1.53,1.53,1.53,2008251018,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-07-26,1.51,1.51,1.51,1.51,2175414527,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-07-27,1.52,1.52,1.52,1.52,2209937500,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-07-28,1.51,1.51,1.51,1.51,2246889692,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-07-31,1.49,1.49,1.49,1.49,1825740025,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-08-01,1.49,1.49,1.49,1.49,1622136886,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-08-02,1.51,1.51,1.51,1.51,1641762667,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-08-03,1.48,1.48,1.48,1.48,1835391064,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-08-04,1.49,1.49,1.49,1.49,1520708951,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-08-07,1.47,1.47,1.47,1.47,1752390026,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-08-08,1.47,1.47,1.47,1.47,1943298069,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-08-09,1.46,1.46,1.46,1.46,2219360972,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-08-10,1.44,1.44,1.44,1.44,1641426848,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-08-11,1.4,1.4,1.4,1.4,1227596482,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-08-14,1.41,1.41,1.41,1.41,1272019273,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-08-15,1.39,1.39,1.39,1.39,1314080937,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-08-16,1.44,1.44,1.44,1.44,1574274126,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-08-17,1.38,1.38,1.38,1.38,1485491152,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-08-18,1.44,1.44,1.44,1.44,1391857719,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-08-21,1.51,1.51,1.51,1.51,1350310501,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-08-22,1.43,1.43,1.43,1.43,1578228055,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-08-23,1.44,1.44,1.44,1.44,1728036136,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-08-24,1.54,1.54,1.54,1.54,1135902220,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-08-25,1.54,1.54,1.54,1.54,956422224,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-08-28,1.51,1.51,1.51,1.51,737200981,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-08-29,1.49,1.49,1.49,1.49,1018492557,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-08-30,1.5,1.5,1.5,1.5,1148772929,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-08-31,1.52,1.52,1.52,1.52,1424695889,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-09-01,1.55,1.55,1.55,1.55,1344571839,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-09-04,0,0,0,1.55,0,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-09-05,1.54,1.54,1.54,1.54,1107599723,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-09-06,1.71,1.71,1.71,1.71,1263134998,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-09-07,1.67,1.67,1.67,1.67,1545128251,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-09-08,1.67,1.67,1.67,1.67,1703691851,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-09-11,1.69,1.69,1.69,1.69,1751620029,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-09-12,1.74,1.74,1.74,1.74,1512209289,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-09-13,1.78,1.78,1.78,1.78,1936110467,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-09-14,1.77,1.77,1.77,1.77,1793224951,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-09-15,1.79,1.79,1.79,1.79,1739383349,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-09-18,1.84,1.84,1.84,1.84,1853717040,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-09-19,1.87,1.87,1.87,1.87,1796024212,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-09-20,1.9,1.9,1.9,1.9,1650728572,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-09-21,1.93,1.93,1.93,1.93,1901061603,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-09-22,1.89,1.89,1.89,1.89,2694713204,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-09-25,2.03,2.03,2.03,2.03,2004840433,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-09-26,2.57,2.57,2.57,2.57,1811901942,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-09-27,2.57,2.57,2.57,2.57,2054123829,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-09-28,2.18,2.18,2.18,2.18,2312373556,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-09-29,2.13,2.13,2.13,2.13,2809006225,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-10-02,2.04,2.04,2.04,2.04,2846988967,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-10-03,2.19,2.19,2.19,2.19,1716945907,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-10-04,1.85,1.85,1.85,1.85,1796096434,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-10-05,1.83,1.83,1.83,1.83,2768388948,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-10-06,1.85,1.85,1.85,1.85,2795195600,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-10-09,0,0,0,1.85,0,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-10-10,1.77,1.77,1.77,1.77,1910053353,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-10-11,1.75,1.75,1.75,1.75,1635648497,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-10-12,1.8,1.8,1.8,1.8,1763754625,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-10-13,1.82,1.82,1.82,1.82,2614624324,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-10-16,1.81,1.81,1.81,1.81,1575234453,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-10-17,1.8,1.8,1.8,1.8,1764747493,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-10-18,1.79,1.79,1.79,1.79,1632354576,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-10-19,1.75,1.75,1.75,1.75,1645976117,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-10-20,1.64,1.64,1.64,1.64,1585447500,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-10-23,1.65,1.65,1.65,1.65,1444032848,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-10-24,1.7,1.7,1.7,1.7,1645087510,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-10-25,1.61,1.61,1.61,1.61,1531667616,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-10-26,1.59,1.59,1.59,1.59,1465530488,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-10-27,1.59,1.59,1.59,1.59,1371310847,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-10-30,1.64,1.64,1.64,1.64,1274853145,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-10-31,1.86,1.86,1.86,1.86,1734139948,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-11-01,1.86,1.86,1.86,1.86,1118865037,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-11-02,1.91,1.91,1.91,1.91,1149591825,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-11-03,1.85,1.85,1.85,1.85,1890934951,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-11-07,1.69,1.69,1.69,1.69,2314740397,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-11-08,1.7,1.7,1.7,1.7,2704440002,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-11-09,1.67,1.67,1.67,1.67,2770560466,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-11-10,2,2,2,2,1371954118,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-11-13,2.01,2.01,2.01,2.01,1201139121,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-11-14,2,2,2,2,1598891366,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-11-15,1.73,1.73,1.73,1.73,2500131590,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-11-16,1.73,1.73,1.73,1.73,2789164765,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-11-17,1.96,1.96,1.96,1.96,3303269980,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-11-20,2.03,2.03,2.03,2.03,1818538190,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-11-21,2.02,2.02,2.02,2.02,1885513548,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-11-22,2.03,2.03,2.03,2.03,2339332013,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-11-23,0,0,0,2.03,0,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-11-24,1.95,1.95,1.95,1.95,2187355364,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-11-27,1.96,1.96,1.96,1.96,1832366715,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-11-28,1.72,1.72,1.72,1.72,3195137948,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-11-29,1.93,1.93,1.93,1.93,1904503557,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-11-30,1.99,1.99,1.99,1.99,1872695311,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-12-01,1.72,1.72,1.72,1.72,2924718292,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-12-04,1.91,1.91,1.91,1.91,1503995907,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-12-05,1.91,1.91,1.91,1.91,1862658181,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-12-06,1.67,1.67,1.67,1.67,2912186597,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-12-07,1.88,1.88,1.88,1.88,1579517518,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-12-08,1.91,1.91,1.91,1.91,1757806464,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-12-11,1.86,1.86,1.86,1.86,1707672772,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-12-12,1.98,1.98,1.98,1.98,1137144655,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-12-13,2.35,2.35,2.35,2.35,1598449240,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-12-14,2.57,2.57,2.57,2.57,1948727036,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-12-15,2.67,2.67,2.67,2.67,1715479737,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-12-18,2.63,2.63,2.63,2.63,1313705154,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-12-19,2.83,2.83,2.83,2.83,1871744515,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-12-20,3.05,3.05,3.05,3.05,2361140069,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-12-21,3.01,3.01,3.01,3.01,995072456,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-12-22,3.07,3.07,3.07,3.07,2244897986,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-12-25,0,0,0,3.07,0,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-12-26,2.9,2.9,2.9,2.9,956812071,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-12-27,2.84,2.84,2.84,2.84,562110901,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-12-28,3.36,3.36,3.36,3.36,276375396,,
MOEXREPOUSD,MOEXREPO USD 12:30,2017-12-29,3.9,3.9,3.9,3.9,420428141,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-01-03,0,0,0,3.9,0,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-01-04,1,1,1,1,9999994,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-01-05,0,0,0,1,0,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-01-09,2.7,2.7,2.7,2.7,1333707093,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-01-10,2.83,2.83,2.83,2.83,2145347301,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-01-11,2.79,2.79,2.79,2.79,1712217402,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-01-12,2.08,2.08,2.08,2.08,1768412657,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-01-15,0,0,0,2.08,0,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-01-16,2.15,2.15,2.15,2.15,1502131554,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-01-17,2.14,2.14,2.14,2.14,1290936535,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-01-18,2.13,2.13,2.13,2.13,1467398365,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-01-19,2.18,2.18,2.18,2.18,2006951181,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-01-22,2.12,2.12,2.12,2.12,2602744198,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-01-23,2.56,2.56,2.56,2.56,2183668863,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-01-24,2.65,2.65,2.65,2.65,2812276853,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-01-25,2.09,2.09,2.09,2.09,1324087148,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-01-26,2.04,2.04,2.04,2.04,1387927803,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-01-29,1.96,1.96,1.96,1.96,1213352207,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-01-30,1.94,1.94,1.94,1.94,1306137668,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-01-31,2.14,2.14,2.14,2.14,1327737164,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-02-01,2.37,2.37,2.37,2.37,1245772999,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-02-02,2.31,2.31,2.31,2.31,1297125460,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-02-05,2.29,2.29,2.29,2.29,1428680475,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-02-06,2.18,2.18,2.18,2.18,1164435736,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-02-07,2.13,2.13,2.13,2.13,1222551108,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-02-08,2.03,2.03,2.03,2.03,1348357209,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-02-09,1.98,1.98,1.98,1.98,1532110593,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-02-12,1.95,1.95,1.95,1.95,1175333820,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-02-13,2,2,2,2,1287944743,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-02-14,2.01,2.01,2.01,2.01,1122397254,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-02-15,2.16,2.16,2.16,2.16,1255485966,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-02-16,2.16,2.16,2.16,2.16,1046942087,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-02-19,0,0,0,2.16,0,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-02-20,2.1,2.1,2.1,2.1,991942924,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-02-21,2.25,2.25,2.25,2.25,947848105,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-02-22,2.71,2.71,2.71,2.71,1208981288,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-02-26,3.15,3.15,3.15,3.15,1898669562,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-02-27,2.61,2.61,2.61,2.61,2014400532,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-02-28,2.78,2.78,2.78,2.78,2062286630,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-03-01,2.82,2.82,2.82,2.82,2822193734,,
MOEXREPOUSD,MOEXREPO USD 12:30,2018-03-02,2.66,2.66,2.66,2.66,1965820577,,
